train_number,station_code,sequence_number,arrival_time,departure_time,day,record_quality,seq_source
6502,NRL,11,05:24:00,05:24:00,2,SOURCE,11.0
6502,BVS,12,05:31:00,05:31:00,2,SOURCE,12.0
6502,KJT,13,05:39:00,05:39:00,2,SOURCE,13.0
6502,PDI,14,05:42:00,05:42:00,2,SOURCE,14.0
6502,KAD,15,06:03:00,06:03:00,2,SOURCE,15.0
6502,LNL,16,06:07:00,06:10:00,2,SOURCE,16.0
6502,MVL,17,06:18:00,06:18:00,2,SOURCE,17.0
6502,KMST,18,06:28:00,06:28:00,2,SOURCE,18.0
6502,KNHE,19,06:33:00,06:33:00,2,SOURCE,19.0
6502,VDN,20,06:38:00,06:38:00,2,SOURCE,20.0
6502,TGN,21,06:43:00,06:43:00,2,SOURCE,21.0
6502,GRWD,22,06:46:00,06:46:00,2,SOURCE,22.0
6502,DEHR,23,06:53:00,06:53:00,2,SOURCE,23.0
6502,AKRD,24,06:59:00,06:59:00,2,SOURCE,24.0
6502,CCH,25,07:02:00,07:02:00,2,SOURCE,25.0
6502,PMP,26,07:05:00,07:05:00,2,SOURCE,26.0
6502,KSWD,27,07:07:00,07:07:00,2,SOURCE,27.0
6502,DAPD,28,07:11:00,07:11:00,2,SOURCE,28.0
6502,KK,29,07:14:00,07:14:00,2,SOURCE,29.0
6502,SVJR,30,07:18:00,07:18:00,2,SOURCE,30.0
6502,PUNE,31,07:20:00,07:30:00,2,SOURCE,31.0
9221,KOPR,1,19:16:00,19:16:00,2,SOURCE,1.0
9221,DI,2,19:23:00,19:23:00,2,SOURCE,2.0
9221,THK,3,19:25:00,19:25:00,2,SOURCE,3.0
9221,KYN,4,19:40:00,19:50:00,2,SOURCE,4.0
9221,VLDI,5,19:53:00,19:53:00,2,SOURCE,5.0
9221,ULNR,6,19:55:00,19:55:00,2,SOURCE,6.0
9221,ABH,7,19:58:00,19:58:00,2,SOURCE,7.0
9221,BUD,8,20:07:00,20:07:00,2,SOURCE,8.0
9221,VGI,9,20:20:00,20:20:00,2,SOURCE,9.0
9221,SHLU,10,20:25:00,20:25:00,2,SOURCE,10.0
9221,NRL,11,20:30:00,20:30:00,2,SOURCE,11.0
9221,BVS,12,20:37:00,20:37:00,2,SOURCE,12.0
9221,KJT,13,20:46:00,20:46:00,2,SOURCE,13.0
9221,PDI,14,20:49:00,20:49:00,2,SOURCE,14.0
9221,KAD,15,21:14:00,21:14:00,2,SOURCE,15.0
9221,LNL,16,21:18:00,21:20:00,2,SOURCE,16.0
9221,MVL,17,21:27:00,21:27:00,2,SOURCE,17.0
9221,KMST,18,21:36:00,21:36:00,2,SOURCE,18.0
9221,KNHE,19,21:41:00,21:41:00,2,SOURCE,19.0
9221,VDN,20,21:46:00,21:46:00,2,SOURCE,20.0
9221,TGN,21,21:50:00,21:50:00,2,SOURCE,21.0
9221,GRWD,22,21:53:00,21:53:00,2,SOURCE,22.0
9221,DEHR,23,22:00:00,22:00:00,2,SOURCE,23.0
9221,AKRD,24,22:05:00,22:05:00,2,SOURCE,24.0
9221,CCH,25,22:08:00,22:08:00,2,SOURCE,25.0
9221,PMP,26,22:10:00,22:10:00,2,SOURCE,26.0
9221,KSWD,27,22:13:00,22:13:00,2,SOURCE,27.0
9221,DAPD,28,22:16:00,22:16:00,2,SOURCE,28.0
9221,KK,29,22:18:00,22:18:00,2,SOURCE,29.0
9221,SVJR,30,22:22:00,22:22:00,2,SOURCE,30.0
9221,PUNE,31,22:25:00,22:30:00,2,SOURCE,31.0
9222,PUNE,1,02:00:00,02:05:00,2,DIRECTION_NORMALIZED,31.0
9222,SVJR,2,02:08:00,02:08:00,2,DIRECTION_NORMALIZED,30.0
9222,KK,3,02:11:00,02:11:00,2,DIRECTION_NORMALIZED,29.0
9222,DAPD,4,02:14:00,02:14:00,2,DIRECTION_NORMALIZED,28.0
9222,KSWD,5,02:18:00,02:18:00,2,DIRECTION_NORMALIZED,27.0
9222,PMP,6,02:20:00,02:20:00,2,DIRECTION_NORMALIZED,26.0
9222,CCH,7,02:22:00,02:22:00,2,DIRECTION_NORMALIZED,25.0
9222,AKRD,8,02:26:00,02:26:00,2,DIRECTION_NORMALIZED,24.0
9222,DEHR,9,02:31:00,02:31:00,2,DIRECTION_NORMALIZED,23.0
9222,GRWD,10,02:38:00,02:38:00,2,DIRECTION_NORMALIZED,22.0
9222,TGN,11,02:41:00,02:41:00,2,DIRECTION_NORMALIZED,21.0
9222,VDN,12,02:45:00,02:45:00,2,DIRECTION_NORMALIZED,20.0
9222,KNHE,13,02:51:00,02:51:00,2,DIRECTION_NORMALIZED,19.0
9222,KMST,14,02:56:00,02:56:00,2,DIRECTION_NORMALIZED,18.0
9222,MVL,15,03:05:00,03:05:00,2,DIRECTION_NORMALIZED,17.0
9222,LNL,16,03:13:00,03:15:00,2,DIRECTION_NORMALIZED,16.0
9222,KAD,17,03:20:00,03:20:00,2,DIRECTION_NORMALIZED,15.0
9222,PDI,18,03:45:00,03:45:00,2,DIRECTION_NORMALIZED,14.0
9222,KJT,19,03:48:00,03:48:00,2,DIRECTION_NORMALIZED,13.0
9222,BVS,20,03:57:00,03:57:00,2,DIRECTION_NORMALIZED,12.0
9222,NRL,21,04:05:00,04:05:00,2,DIRECTION_NORMALIZED,11.0
9222,SHLU,22,04:10:00,04:10:00,2,DIRECTION_NORMALIZED,10.0
9222,VGI,23,04:15:00,04:15:00,2,DIRECTION_NORMALIZED,9.0
9222,BUD,24,04:28:00,04:28:00,2,DIRECTION_NORMALIZED,8.0
9222,ABH,25,04:37:00,04:37:00,2,DIRECTION_NORMALIZED,7.0
9222,ULNR,26,04:40:00,04:40:00,2,DIRECTION_NORMALIZED,6.0
9222,VLDI,27,04:43:00,04:43:00,2,DIRECTION_NORMALIZED,5.0
9222,KYN,28,04:45:00,04:50:00,2,DIRECTION_NORMALIZED,4.0
9222,THK,29,04:56:00,04:56:00,2,DIRECTION_NORMALIZED,3.0
9222,DI,30,04:59:00,04:59:00,2,DIRECTION_NORMALIZED,2.0
9222,KOPR,31,05:08:00,05:08:00,2,DIRECTION_NORMALIZED,1.0
9405,KOPR,1,04:31:00,04:31:00,2,SOURCE,1.0
9405,DI,2,04:38:00,04:38:00,2,SOURCE,2.0
9405,THK,3,04:40:00,04:40:00,2,SOURCE,3.0
9405,KYN,4,04:45:00,04:50:00,2,SOURCE,4.0
9405,VLDI,5,04:53:00,04:53:00,2,SOURCE,5.0
9405,ULNR,6,04:55:00,04:55:00,2,SOURCE,6.0
9405,ABH,7,04:57:00,04:57:00,2,SOURCE,7.0
9405,BUD,8,05:06:00,05:06:00,2,SOURCE,8.0
9405,VGI,9,05:17:00,05:17:00,2,SOURCE,9.0
9405,SHLU,10,05:22:00,05:22:00,2,SOURCE,10.0
9405,NRL,11,05:26:00,05:26:00,2,SOURCE,11.0
9405,BVS,12,05:33:00,05:33:00,2,SOURCE,12.0
9405,KJT,13,05:41:00,05:41:00,2,SOURCE,13.0
9405,PDI,14,05:44:00,05:44:00,2,SOURCE,14.0
9405,KAD,15,06:07:00,06:07:00,2,SOURCE,15.0
9405,LNL,16,06:11:00,06:11:00,2,SOURCE,16.0
9405,MVL,17,06:19:00,06:19:00,2,SOURCE,17.0
9405,KMST,18,06:28:00,06:28:00,2,SOURCE,18.0
9405,KNHE,19,06:33:00,06:33:00,2,SOURCE,19.0
9405,VDN,20,06:39:00,06:39:00,2,SOURCE,20.0
9405,TGN,21,06:43:00,06:43:00,2,SOURCE,21.0
9405,GRWD,22,06:46:00,06:46:00,2,SOURCE,22.0
9405,DEHR,23,06:53:00,06:53:00,2,SOURCE,23.0
9405,AKRD,24,06:59:00,06:59:00,2,SOURCE,24.0
9405,CCH,25,07:02:00,07:02:00,2,SOURCE,25.0
9405,PMP,26,07:05:00,07:05:00,2,SOURCE,26.0
9405,KSWD,27,07:07:00,07:07:00,2,SOURCE,27.0
9405,DAPD,28,07:11:00,07:11:00,2,SOURCE,28.0
9405,KK,29,07:13:00,07:13:00,2,SOURCE,29.0
9405,SVJR,30,07:17:00,07:17:00,2,SOURCE,30.0
9405,PUNE,31,07:20:00,07:40:00,2,SOURCE,31.0
9406,PUNE,1,03:40:00,04:00:00,2,DIRECTION_NORMALIZED,31.0
9406,SVJR,2,04:03:00,04:03:00,2,DIRECTION_NORMALIZED,30.0
9406,KK,3,04:07:00,04:07:00,2,DIRECTION_NORMALIZED,29.0
9406,DAPD,4,04:10:00,04:10:00,2,DIRECTION_NORMALIZED,28.0
9406,KSWD,5,04:14:00,04:14:00,2,DIRECTION_NORMALIZED,27.0
9406,PMP,6,04:17:00,04:17:00,2,DIRECTION_NORMALIZED,26.0
9406,CCH,7,04:20:00,04:20:00,2,DIRECTION_NORMALIZED,25.0
9406,AKRD,8,04:24:00,04:24:00,2,DIRECTION_NORMALIZED,24.0
9406,DEHR,9,04:30:00,04:30:00,2,DIRECTION_NORMALIZED,23.0
9406,GRWD,10,04:38:00,04:38:00,2,DIRECTION_NORMALIZED,22.0
9406,TGN,11,04:41:00,04:41:00,2,DIRECTION_NORMALIZED,21.0
9406,VDN,12,04:46:00,04:46:00,2,DIRECTION_NORMALIZED,20.0
9406,KNHE,13,04:52:00,04:52:00,2,DIRECTION_NORMALIZED,19.0
9406,KMST,14,04:58:00,04:58:00,2,DIRECTION_NORMALIZED,18.0
9406,MVL,15,05:08:00,05:08:00,2,DIRECTION_NORMALIZED,17.0
9406,LNL,16,05:17:00,05:17:00,2,DIRECTION_NORMALIZED,16.0
9406,KAD,17,05:21:00,05:21:00,2,DIRECTION_NORMALIZED,15.0
9406,PDI,18,05:47:00,05:47:00,2,DIRECTION_NORMALIZED,14.0
9406,KJT,19,05:50:00,05:50:00,2,DIRECTION_NORMALIZED,13.0
9406,BVS,20,05:58:00,05:58:00,2,DIRECTION_NORMALIZED,12.0
9406,NRL,21,06:07:00,06:07:00,2,DIRECTION_NORMALIZED,11.0
9406,SHLU,22,06:12:00,06:12:00,2,DIRECTION_NORMALIZED,10.0
9406,VGI,23,06:16:00,06:16:00,2,DIRECTION_NORMALIZED,9.0
9406,BUD,24,06:29:00,06:29:00,2,DIRECTION_NORMALIZED,8.0
9406,ABH,25,06:39:00,06:39:00,2,DIRECTION_NORMALIZED,7.0
9406,ULNR,26,06:42:00,06:42:00,2,DIRECTION_NORMALIZED,6.0
9406,VLDI,27,06:44:00,06:44:00,2,DIRECTION_NORMALIZED,5.0
9406,KYN,28,06:48:00,06:50:00,2,DIRECTION_NORMALIZED,4.0
9406,THK,29,06:51:00,06:51:00,2,DIRECTION_NORMALIZED,3.0
9406,DI,30,06:52:00,06:52:00,2,DIRECTION_NORMALIZED,2.0
9406,KOPR,31,06:54:00,06:54:00,2,DIRECTION_NORMALIZED,1.0
11007,CSMT,1,07:10:00,07:10:00,1,SOURCE,1.0
11007,MSD,2,07:11:00,07:11:00,1,SOURCE,2.0
11007,SNRD,3,07:13:00,07:13:00,1,SOURCE,3.0
11007,BY,4,07:16:00,07:16:00,1,SOURCE,4.0
11007,CRD,5,07:18:00,07:18:00,1,SOURCE,5.0
11007,PR,6,07:21:00,07:21:00,1,SOURCE,6.0
11007,DR,7,07:23:00,07:25:00,1,SOURCE,7.0
11007,MTN,8,07:26:00,07:26:00,1,SOURCE,8.0
11007,SIN,9,07:29:00,07:29:00,1,SOURCE,9.0
11007,CLA,10,07:31:00,07:31:00,1,SOURCE,10.0
11007,VVH,11,07:33:00,07:33:00,1,SOURCE,11.0
11007,GC,12,07:35:00,07:35:00,1,SOURCE,12.0
11007,VK,13,07:38:00,07:38:00,1,SOURCE,13.0
11007,BND,14,07:42:00,07:42:00,1,SOURCE,14.0
11007,NHU,15,07:43:00,07:43:00,1,SOURCE,15.0
11007,MLND,16,07:45:00,07:45:00,1,SOURCE,16.0
11007,TNA,17,07:48:00,07:50:00,1,SOURCE,17.0
11007,KLVA,18,07:52:00,07:52:00,1,SOURCE,18.0
11007,MBQ,19,07:56:00,07:56:00,1,SOURCE,19.0
11007,DIVA,20,07:59:00,07:59:00,1,SOURCE,20.0
11007,KOPR,21,08:03:00,08:03:00,1,SOURCE,21.0
11007,DI,22,08:04:00,08:04:00,1,SOURCE,22.0
11007,THK,23,08:05:00,08:05:00,1,SOURCE,23.0
11007,KYN,24,08:08:00,08:10:00,1,SOURCE,24.0
11007,VLDI,25,08:12:00,08:12:00,1,SOURCE,25.0
11007,ULNR,26,08:14:00,08:14:00,1,SOURCE,26.0
11007,ABH,27,08:16:00,08:16:00,1,SOURCE,27.0
11007,BUD,28,08:22:00,08:22:00,1,SOURCE,28.0
11007,VGI,29,08:32:00,08:32:00,1,SOURCE,29.0
11007,SHLU,30,08:35:00,08:35:00,1,SOURCE,30.0
11007,NRL,31,08:38:00,08:40:00,1,SOURCE,31.0
11007,BVS,32,08:49:00,08:49:00,1,SOURCE,32.0
11007,KJT,33,08:58:00,09:00:00,1,SOURCE,33.0
11007,PDI,34,09:05:00,09:05:00,1,SOURCE,34.0
11007,KAD,35,09:40:00,09:42:00,1,SOURCE,35.0
11007,LNL,36,09:48:00,09:50:00,1,SOURCE,36.0
11007,MVL,37,09:56:00,09:56:00,1,SOURCE,37.0
11007,KMST,38,10:02:00,10:02:00,1,SOURCE,38.0
11007,KNHE,39,10:06:00,10:06:00,1,SOURCE,39.0
11007,VDN,40,10:10:00,10:10:00,1,SOURCE,40.0
11007,TGN,41,10:13:00,10:15:00,1,SOURCE,41.0
11007,GRWD,42,10:18:00,10:18:00,1,SOURCE,42.0
11007,DEHR,43,10:24:00,10:24:00,1,SOURCE,43.0
11007,AKRD,44,10:29:00,10:29:00,1,SOURCE,44.0
11007,CCH,45,10:32:00,10:32:00,1,SOURCE,45.0
11007,PMP,46,10:34:00,10:34:00,1,SOURCE,46.0
11007,KSWD,47,10:36:00,10:36:00,1,SOURCE,47.0
11007,DAPD,48,10:39:00,10:39:00,1,SOURCE,48.0
11007,KK,49,10:41:00,10:43:00,1,SOURCE,49.0
11007,SVJR,50,10:48:00,10:50:00,1,SOURCE,50.0
11007,PUNE,51,11:10:00,11:10:00,1,SOURCE,51.0
11008,PUNE,1,15:30:00,15:30:00,1,DIRECTION_NORMALIZED,51.0
11008,SVJR,2,15:35:00,15:38:00,1,DIRECTION_NORMALIZED,50.0
11008,KK,3,15:42:00,15:45:00,1,DIRECTION_NORMALIZED,49.0
11008,DAPD,4,15:47:00,15:47:00,1,DIRECTION_NORMALIZED,48.0
11008,KSWD,5,15:49:00,15:49:00,1,DIRECTION_NORMALIZED,47.0
11008,PMP,6,15:51:00,15:51:00,1,DIRECTION_NORMALIZED,46.0
11008,CCH,7,15:53:00,15:53:00,1,DIRECTION_NORMALIZED,45.0
11008,AKRD,8,15:55:00,15:55:00,1,DIRECTION_NORMALIZED,44.0
11008,DEHR,9,15:59:00,15:59:00,1,DIRECTION_NORMALIZED,43.0
11008,GRWD,10,16:04:00,16:04:00,1,DIRECTION_NORMALIZED,42.0
11008,TGN,11,16:06:00,16:08:00,1,DIRECTION_NORMALIZED,41.0
11008,VDN,12,16:11:00,16:11:00,1,DIRECTION_NORMALIZED,40.0
11008,KNHE,13,16:16:00,16:16:00,1,DIRECTION_NORMALIZED,39.0
11008,KMST,14,16:20:00,16:20:00,1,DIRECTION_NORMALIZED,38.0
11008,MVL,15,16:27:00,16:27:00,1,DIRECTION_NORMALIZED,37.0
11008,LNL,16,16:33:00,16:35:00,1,DIRECTION_NORMALIZED,36.0
11008,KAD,17,16:43:00,16:45:00,1,DIRECTION_NORMALIZED,35.0
11008,PDI,18,17:22:00,17:22:00,1,DIRECTION_NORMALIZED,34.0
11008,KJT,19,17:28:00,17:30:00,1,DIRECTION_NORMALIZED,33.0
11008,BVS,20,17:37:00,17:37:00,1,DIRECTION_NORMALIZED,32.0
11008,NRL,21,17:44:00,17:44:00,1,DIRECTION_NORMALIZED,31.0
11008,SHLU,22,17:49:00,17:49:00,1,DIRECTION_NORMALIZED,30.0
11008,VGI,23,17:53:00,17:53:00,1,DIRECTION_NORMALIZED,29.0
11008,BUD,24,18:05:00,18:05:00,1,DIRECTION_NORMALIZED,28.0
11008,ABH,25,18:13:00,18:13:00,1,DIRECTION_NORMALIZED,27.0
11008,ULNR,26,18:15:00,18:15:00,1,DIRECTION_NORMALIZED,26.0
11008,VLDI,27,18:17:00,18:17:00,1,DIRECTION_NORMALIZED,25.0
11008,KYN,28,18:20:00,18:25:00,1,DIRECTION_NORMALIZED,24.0
11008,THK,29,18:28:00,18:28:00,1,DIRECTION_NORMALIZED,23.0
11008,DI,30,18:29:00,18:29:00,1,DIRECTION_NORMALIZED,22.0
11008,KOPR,31,18:31:00,18:31:00,1,DIRECTION_NORMALIZED,21.0
11008,DIVA,32,18:35:00,18:35:00,1,DIRECTION_NORMALIZED,20.0
11008,MBQ,33,18:37:00,18:37:00,1,DIRECTION_NORMALIZED,19.0
11008,KLVA,34,18:41:00,18:41:00,1,DIRECTION_NORMALIZED,18.0
11008,TNA,35,18:43:00,18:45:00,1,DIRECTION_NORMALIZED,17.0
11008,MLND,36,18:48:00,18:48:00,1,DIRECTION_NORMALIZED,16.0
11008,NHU,37,18:51:00,18:51:00,1,DIRECTION_NORMALIZED,15.0
11008,BND,38,18:52:00,18:52:00,1,DIRECTION_NORMALIZED,14.0
11008,VK,39,18:57:00,18:57:00,1,DIRECTION_NORMALIZED,13.0
11008,GC,40,19:01:00,19:01:00,1,DIRECTION_NORMALIZED,12.0
11008,VVH,41,19:03:00,19:03:00,1,DIRECTION_NORMALIZED,11.0
11008,CLA,42,19:06:00,19:06:00,1,DIRECTION_NORMALIZED,10.0
11008,SIN,43,19:09:00,19:09:00,1,DIRECTION_NORMALIZED,9.0
11008,MTN,44,19:12:00,19:12:00,1,DIRECTION_NORMALIZED,8.0
11008,DR,45,19:13:00,19:15:00,1,DIRECTION_NORMALIZED,7.0
11008,PR,46,19:18:00,19:18:00,1,DIRECTION_NORMALIZED,6.0
11008,CRD,47,19:23:00,19:23:00,1,DIRECTION_NORMALIZED,5.0
11008,BY,48,19:28:00,19:28:00,1,DIRECTION_NORMALIZED,4.0
11008,SNRD,49,19:33:00,19:33:00,1,DIRECTION_NORMALIZED,3.0
11008,MSD,50,19:37:00,19:37:00,1,DIRECTION_NORMALIZED,2.0
11008,CSMT,51,19:40:00,19:40:00,1,DIRECTION_NORMALIZED,1.0
11009,CSMT,1,14:30:00,14:30:00,1,SOURCE,1.0
11009,MSD,2,14:31:00,14:31:00,1,SOURCE,2.0
11009,SNRD,3,14:33:00,14:33:00,1,SOURCE,3.0
11009,BY,4,14:36:00,14:36:00,1,SOURCE,4.0
11009,CRD,5,14:38:00,14:38:00,1,SOURCE,5.0
11009,PR,6,14:41:00,14:41:00,1,SOURCE,6.0
11009,DR,7,14:43:00,14:45:00,1,SOURCE,7.0
11009,MTN,8,14:46:00,14:46:00,1,SOURCE,8.0
11009,SIN,9,14:49:00,14:49:00,1,SOURCE,9.0
11009,CLA,10,14:51:00,14:51:00,1,SOURCE,10.0
11009,VVH,11,14:53:00,14:53:00,1,SOURCE,11.0
11009,GC,12,14:55:00,14:55:00,1,SOURCE,12.0
11009,VK,13,14:58:00,14:58:00,1,SOURCE,13.0
11009,BND,14,15:02:00,15:02:00,1,SOURCE,14.0
11009,NHU,15,15:03:00,15:03:00,1,SOURCE,15.0
11009,MLND,16,15:05:00,15:05:00,1,SOURCE,16.0
11009,TNA,17,15:08:00,15:10:00,1,SOURCE,17.0
11009,KLVA,18,15:12:00,15:12:00,1,SOURCE,18.0
11009,MBQ,19,15:16:00,15:16:00,1,SOURCE,19.0
11009,DIVA,20,15:19:00,15:19:00,1,SOURCE,20.0
11009,KOPR,21,15:23:00,15:23:00,1,SOURCE,21.0
11009,DI,22,15:24:00,15:24:00,1,SOURCE,22.0
11009,THK,23,15:25:00,15:25:00,1,SOURCE,23.0
11009,KYN,24,15:28:00,15:30:00,1,SOURCE,24.0
11009,VLDI,25,15:32:00,15:32:00,1,SOURCE,25.0
11009,ULNR,26,15:34:00,15:34:00,1,SOURCE,26.0
11009,ABH,27,15:36:00,15:36:00,1,SOURCE,27.0
11009,BUD,28,15:42:00,15:42:00,1,SOURCE,28.0
11009,VGI,29,15:51:00,15:51:00,1,SOURCE,29.0
11009,SHLU,30,15:54:00,15:54:00,1,SOURCE,30.0
11009,NRL,31,15:58:00,15:58:00,1,SOURCE,31.0
11009,BVS,32,16:03:00,16:03:00,1,SOURCE,32.0
11009,KJT,33,16:08:00,16:10:00,1,SOURCE,33.0
11009,PDI,34,16:15:00,16:15:00,1,SOURCE,34.0
11009,KAD,35,16:53:00,16:55:00,1,SOURCE,35.0
11009,LNL,36,17:08:00,17:10:00,1,SOURCE,36.0
11009,MVL,37,17:15:00,17:15:00,1,SOURCE,37.0
11009,KMST,38,17:22:00,17:22:00,1,SOURCE,38.0
11009,KNHE,39,17:25:00,17:25:00,1,SOURCE,39.0
11009,VDN,40,17:29:00,17:29:00,1,SOURCE,40.0
11009,TGN,41,17:32:00,17:32:00,1,SOURCE,41.0
11009,GRWD,42,17:34:00,17:34:00,1,SOURCE,42.0
11009,DEHR,43,17:39:00,17:39:00,1,SOURCE,43.0
11009,AKRD,44,17:42:00,17:42:00,1,SOURCE,44.0
11009,CCH,45,17:45:00,17:47:00,1,SOURCE,45.0
11009,PMP,46,17:50:00,17:52:00,1,SOURCE,46.0
11009,KSWD,47,17:55:00,17:55:00,1,SOURCE,47.0
11009,DAPD,48,18:00:00,18:00:00,1,SOURCE,48.0
11009,KK,49,18:03:00,18:05:00,1,SOURCE,49.0
11009,SVJR,50,18:13:00,18:15:00,1,SOURCE,50.0
11009,PUNE,51,18:40:00,18:40:00,1,SOURCE,51.0
11010,PUNE,1,06:05:00,06:05:00,1,DIRECTION_NORMALIZED,51.0
11010,SVJR,2,06:10:00,06:13:00,1,DIRECTION_NORMALIZED,50.0
11010,KK,3,06:18:00,06:20:00,1,DIRECTION_NORMALIZED,49.0
11010,DAPD,4,06:22:00,06:22:00,1,DIRECTION_NORMALIZED,48.0
11010,KSWD,5,06:26:00,06:26:00,1,DIRECTION_NORMALIZED,47.0
11010,PMP,6,06:28:00,06:31:00,1,DIRECTION_NORMALIZED,46.0
11010,CCH,7,06:33:00,06:35:00,1,DIRECTION_NORMALIZED,45.0
11010,AKRD,8,06:38:00,06:38:00,1,DIRECTION_NORMALIZED,44.0
11010,DEHR,9,06:42:00,06:42:00,1,DIRECTION_NORMALIZED,43.0
11010,GRWD,10,06:47:00,06:47:00,1,DIRECTION_NORMALIZED,42.0
11010,TGN,11,06:50:00,06:50:00,1,DIRECTION_NORMALIZED,41.0
11010,VDN,12,06:53:00,06:53:00,1,DIRECTION_NORMALIZED,40.0
11010,KNHE,13,06:57:00,06:57:00,1,DIRECTION_NORMALIZED,39.0
11010,KMST,14,07:01:00,07:01:00,1,DIRECTION_NORMALIZED,38.0
11010,MVL,15,07:08:00,07:08:00,1,DIRECTION_NORMALIZED,37.0
11010,LNL,16,07:13:00,07:15:00,1,DIRECTION_NORMALIZED,36.0
11010,KAD,17,07:23:00,07:25:00,1,DIRECTION_NORMALIZED,35.0
11010,PDI,18,07:54:00,07:54:00,1,DIRECTION_NORMALIZED,34.0
11010,KJT,19,07:58:00,08:00:00,1,DIRECTION_NORMALIZED,33.0
11010,BVS,20,08:06:00,08:06:00,1,DIRECTION_NORMALIZED,32.0
11010,NRL,21,08:12:00,08:12:00,1,DIRECTION_NORMALIZED,31.0
11010,SHLU,22,08:16:00,08:16:00,1,DIRECTION_NORMALIZED,30.0
11010,VGI,23,08:20:00,08:20:00,1,DIRECTION_NORMALIZED,29.0
11010,BUD,24,08:29:00,08:29:00,1,DIRECTION_NORMALIZED,28.0
11010,ABH,25,08:36:00,08:36:00,1,DIRECTION_NORMALIZED,27.0
11010,ULNR,26,08:38:00,08:38:00,1,DIRECTION_NORMALIZED,26.0
11010,VLDI,27,08:40:00,08:40:00,1,DIRECTION_NORMALIZED,25.0
11010,KYN,28,08:42:00,08:47:00,1,DIRECTION_NORMALIZED,24.0
11010,THK,29,08:51:00,08:51:00,1,DIRECTION_NORMALIZED,23.0
11010,DI,30,08:52:00,08:52:00,1,DIRECTION_NORMALIZED,22.0
11010,KOPR,31,08:54:00,08:54:00,1,DIRECTION_NORMALIZED,21.0
11010,DIVA,32,08:58:00,08:58:00,1,DIRECTION_NORMALIZED,20.0
